acceptance,受諾
accommodate,～を収容する
accomplishment,業績
acquisition,買収
administration,行政
admission,入場
affect,～に影響する
agenda,議題
aircraft,航空機
amenity,設備
anticipate,～を予想する
appeal,強く訴える
applause,拍手
appliance,電化製品
applicant,志願者
arrange,～を手配する
arrival,到着
aspect,側面
associate,同僚
attorney,弁護士
auditorium,講堂
authority,権威
avenue,大通り
award,～を授与する
badge,名札
ballroom,宴会場
banquet,宴会
belonging,所持品
bid,入札
bill,～に請求する
biography,経歴
boost,～を増やす
boulevard,大通り
brick,れんが
brokerage,仲介業務
brouchure,パンフレット
bulk,大量
bureau,事務局
candidate,候補者
capability,能力
category,部門
celebrity,有名人
certificate,証明書
chairperson,議長
chore,雑用
circulation,流通
claim,主張
closure,閉鎖
combine,～を組み合わせる
commerce,商業
commission,手数料
committee,委員会
commodity,商品
compartment,区画
compensation,報酬
compliance,順守
composition,作文
compound,混合物
concern,～を心配させる
conduct,～を行う
conference,会議
conflict,衝突
consequence,結果
conservation,保存
construction,建設
contract,契約
contribute,寄付する
correct,～を訂正する
costume,衣装
council,評議会
courier,宅配業者
coverage,報道
cuisine,料理
currency,通貨
deadline,締め切り
dedication,献身
deficit,不足額
delay,～を遅延させる
designate,～を指定する
destination,目的地
discipline,訓練
discount,割引
dishwasher,食洗器
dispute,論争
distress,苦痛
district,地区
doorway,出入口
duration,継続時間
edge,端
emphasize,～を強調する
employee,従業員
encounter,～に遭遇する
enterprise,企業
equipment,装備
establishment,施設
evaluation,評価
exceed,～を超える
executive,役員
exhibit,展示する
expertise,専門知識
exposition,展示会
extend,～を延長する
facility,設備
fair,説明会
fill,～を満たす
fine,罰金
flyer,ちらし
fountain,噴水
fragment,破片
freight,貨物運送
fringe,周辺
fuel,燃料
furnishing,家具
getaway,保養地
gratitude,感謝の気持ち
guarantee,～を保証する
habitat,生息地
hallway,廊下
heritage,遺産
hesitate,～をためらう
household,世帯
implement,～を実行する
infection,感染
influence,影響
inform,～に知らせる
ingredient,成分
innovation,革新
inquire,尋ねる
inspection,検査
institution,施設
instruction,教育
insurance,保険
integrity,誠実
intersection,交差点
inventory,在庫
invitation,招待状
invoice,請求書
involve,～を伴う
itinerary,旅行日程
lane,車線
last,継続する
lawn,芝生
leave,出発する
length,長さ
liability,責任
lighthouse,灯台
liquid,液体
literature,文学
load,～を積む
lodging,宿泊
lower,～を下げる
luncheon,昼食
maintenance,保守
majority,大多数
manufacture,～を生産する
material,原料
mayor,市長
mechanic,機械工
medication,薬剤
meet,～を満たす
memorandum,メモ
mention,～に言及する
merchandise,商品
merger,合併
minority,少数
moderator,司会者
monitor,～を監視する
monopoly,独占
mortgage,抵当
negotiate,～を交渉する
neighborhood,近所
nutrition,栄養
observe,～を順守する
occasion,行事
occupation,職業、占領
offer,～を申し出る
official,役人
outlet,コンセント
overlook,～を見渡す
own,～を所有する
packet,一式
patio,中庭
pedestrian,歩行者
permit,許可書
personnel,人事課、全職員
phase,段階
poetry,詩
port,港
portion,部分
possess,～を備えている
post,～を掲示する
pottery,陶器
poverty,貧困
praise,～を称賛する
predecessor,前任者
prejudice,偏見
premise,前提
prescription,処方箋
presence,存在
preserve,～を保つ
principle,原理
priority,優先
privilege,特権
procedure,手順
profit,利益
promise,～に約束する
proof,証明
property,財産
publicize,～を宣伝する
purchase,～を購入する
qualify,資格がある
quality,質
quantity,量
railing,手すり
railway,鉄道
recall,～を思い出す
recession,景気後退
recruit,～を採用する
reduction,減少
refund,返金
register,登録する
registration,登録
relief,安心
relocate,移転する
renew,～を更新する
repair,～を修理する
replacement,取り換え
report,～を報告する
representative,代表
request,～を要請する
reserve,～を予約する
resolve,～を解決する
resource,資源
response,返答
retain,～を保持する
revenue,収入
revise,～を見直す
ritual,儀式
routine,日課
rumor,うわさ
salary,給料
scar,傷跡
scheme,計画
sculpture,彫刻
seat,～を着席させる
setting,環境
sewer,下水道
ship,～を出荷する
showcase,～を披露する
slot,枠
soil,土壌
sort,～を分類する
source,源
specification,仕様
speculation,推量
spouse,配偶者
spread,～を広げる
stack,～を積み重ねる
stake,くい
stationary,文房具
statistics,統計
stockholder,株主
structure,建物
struggle,奮闘する
submit,～を提出する
subscription,定期購読
substance,物質
suburb,郊外
supply,～を支給する
surgery,外科
surplus,残り
sweep,～を掃く
symptom,兆候
tactics,作戦
term,期間
terminal,終点
therapy,治療
token,印
track,～を追跡する
transaction,取引
transfer,移転する
transit,通過
transition,移行
treaty,条約
trend,傾向
trigger,引き金
trustee,評議員
undergo,～を受ける
unemployment,失業
urge,～に強く勧める
vary,変わる
vehicle,車両
vendor,売り手
venue,会場
verify,～を確認する
vessel,船舶
voucher,引換券
wage,賃金
warehouse,倉庫
workday,平日
